#"symb" 	 	"row" 		"col"  	  	"Tc" 		"Mol. Frac. of H_2"
"H" 	 		1 	 		1 	 		NA 	 		NA
"He" 	 		1 	 		18 	 		NA 	 		NA
"Li" 	 		2 	 		1 	 		15	 		1.00
"Be" 	 		2 	 		2 	 		NA	 		NA
"B" 	 		2 	 		13 	 		NA	 		NA
"C" 	 		2 	 		14 	 		NA	 		NA
"N" 	 		2 	 		15 	 		NA	 		NA
"O" 	 		2 	 		16 	 		NA	 		NA
"F" 	 		2 	 		17 	 		NA	 		NA
"Ne" 	 		2 	 		18 	 		NA 	 		NA
"Na" 	 		3 	 		1 	 		NA 	 		NA
"Mg" 	 		3 	 		2 	 		NA 	 		NA
"Al" 	 		3 	 		13 	 		NA 	 		NA
"Si" 	 		3 	 		14 	 		NA	 		NA
"P" 	 		3 	 		15 	 		NA 	 		NA
"S" 	 		3 	 		16 	 		50 	 		0.667
"Cl" 	 		3 	 		17 	 		NA	 		NA
"Ar" 	 		3 	 		18 	 		NA 	 		NA
"K" 	 		4 	 		1 	 		NA	 		NA
"Ca" 	 		4 	 		2 	 		NA 	 		NA
"Sc" 	 		4 	 		3 	 		NA 	 		NA
"Ti" 	 		4 	 		4 	 		NA 	 		NA
"V" 	 		4 	 		5 	 		NA 	 		NA
"Cr" 	 		4 	 		6 	 		NA 	 		NA
"Mn" 	 		4 	 		7 	 		NA 	 		NA
"Fe" 	 		4 	 		8 	 		NA 	 		NA
"Co" 	 		4 	 		9 	 		NA 	 		NA
"Ni" 	 		4 	 		10 	 		NA 	 		NA
"Cu" 	 		4 	 		11 	 		NA 	 		NA
"Zn" 	 		4 	 		12 	 		NA 	 		NA
"Ga" 	 		4 	 		13 	 		NA 	 		NA
"Ge" 	 		4 	 		14 	 		NA 	 		NA
"As" 	 		4 	 		15 	 		NA 	 		NA
"Se" 	 		4 	 		16 	 		NA 	 		NA
"Br" 	 		4 	 		17 	 		NA 	 		NA
"Kr" 	 		4 	 		18 	 		NA 	 		NA
"Rb" 	 		5 	 		1 	 		NA 	 		NA
"Sr" 	 		5 	 		2 	 		NA 	 		NA
"Y" 	 		5 	 		3 	 		NA 	 		NA
"Zr" 	 		5 	 		4 	 		NA 	 		NA
"Nb" 	 		5 	 		5 	 		NA 	 		NA
"Mo" 	 		5 	 		6 	 		NA 	 		NA
"Tc" 	 		5 	 		7 	 		NA 	 		NA
"Ru" 	 		5 	 		8 	 		NA 	 		NA
"Rh" 	 		5 	 		9 	 		NA 	 		NA
"Pd" 	 		5 	 		10 	 		NA 	 		NA
"Ag" 	 		5 	 		11 	 		NA 	 		NA
"Cd" 	 		5 	 		12 	 		NA 	 		NA
"In" 	 		5 	 		13 	 		NA 	 		NA
"Sn" 	 		5 	 		14 	 		NA 	 		NA
"Sb" 	 		5 	 		15 	 		NA 	 		NA
"Te" 	 		5 	 		16 	 		NA 	 		NA
"I" 	 		5 	 		17 	 		NA 	 		NA
"Xe" 	 		5 	 		18 	 		NA 	 		NA
"Cs" 	 		6 	 		1 	 		NA 	 		NA
"Ba" 	 		6 	 		2 	 		NA 	 		NA
"La" 	 		8 	 		3 	 		NA 	 		NA
